Date,Symbols,Close,High,Low,Open,Volume
2021-01-15,MSFT.US,211.27,213.12,210.65,212.13,31954161.0
2021-01-15,TTST.UK,9.4075,9.4468,9.3486,9.3682,55493.0
2021-01-18,TTST.UK,8.9951,8.9951,8.8183,8.9165,32362.0
2021-01-19,AMZN,3120.76,3145.0,3096.0,3107.0,3305142.0
2021-01-19,GOOGL,1784.47,1803.84,1732.83,1743.0,2082951.0
2021-01-19,FB,261.1,262.2,252.7201,256.9,28028546.0
2021-01-19,TWTR.US,45.93,46.17,44.4,45.59,19476292.0
2021-01-19,MSFT.US,215.03,215.57,211.25,212.36,30680230.0
2021-01-19,TTST.UK,9.0933,9.3879,9.0147,9.0147,15899.0
2021-01-20,AMZN,3263.38,3279.8,3175.0,3181.99,5309835.0
2021-01-20,GOOGL,1880.07,1899.7234,1819.51,1826.37,3207570.0
2021-01-20,FB,267.48,270.32,263.6,268.93,25199919.0
2021-01-20,TWTR.US,47.6,47.915,46.18,46.23,21432882.0
2021-01-20,MSFT.US,222.87,224.32,215.88,216.29,38024356.0
2021-01-20,TTST.UK,9.2504,9.3486,9.0933,9.27,17586.0
2021-01-21,AMZN,3306.99,3348.55,3289.5675,3293.0,4945051.0
2021-01-21,GOOGL,1884.15,1932.08,1879.41,1893.65,2932973.0
2021-01-21,FB,272.87,273.6,267.4901,269.26,20838687.0
2021-01-21,TWTR.US,47.12,48.02,46.5,47.73,15457890.0
2021-01-21,MSFT.US,223.5,224.83,220.98,223.23,30950681.0
2021-01-21,TTST.UK,9.0147,9.1718,8.9558,9.1325,4434.0
2021-01-22,AMZN,3292.23,3321.91,3283.1644,3304.31,2821914.0
2021-01-22,GOOGL,1892.56,1904.39,1876.495,1891.46,1637195.0
2021-01-22,FB,274.5,278.47,272.0,272.01,21954042.0
2021-01-22,TWTR.US,48.06,48.18,46.8,46.9,13564399.0
2021-01-22,MSFT.US,224.48,228.57,224.33,225.61,30370018.0
2021-01-22,TTST.UK,8.6023,8.8379,8.4648,8.6612,16044.0
2021-01-25,AMZN,3294.0,3363.89,3243.1463,3328.5,3749758.0
2021-01-25,GOOGL,1894.28,1921.82,1859.16,1912.74,2529346.0
2021-01-25,FB,278.01,280.1,271.51,278.14,19086990.0
2021-01-25,TWTR.US,47.84,48.95,47.0,48.44,13642292.0
2021-01-25,MSFT.US,228.03,228.28,222.75,227.62,33368937.0
2021-01-25,TTST.UK,8.6808,8.8576,8.6808,8.7594,10051.0
2021-01-26,AMZN,3326.13,3338.0,3282.87,3296.3559,2955235.0
2021-01-26,GOOGL,1907.95,1915.75,1876.13,1885.99,1573078.0
2021-01-26,FB,282.05,285.39,277.81,278.1398,19373636.0
2021-01-26,TWTR.US,49.67,52.19,48.02,48.13,29448477.0
2021-01-26,MSFT.US,230.83,232.65,228.58,230.36,49491211.0
2021-01-26,TTST.UK,8.7397,8.8379,8.6612,8.6808,20077.0
2021-01-27,AMZN,3232.58,3346.52,3207.08,3341.49,4660158.0
2021-01-27,GOOGL,1818.94,1880.47,1797.28,1874.91,4125631.0
2021-01-27,FB,272.14,283.45,268.1201,282.53,35346194.0
2021-01-27,TWTR.US,48.19,50.85,47.98,50.64,22427044.0
2021-01-27,MSFT.US,231.38,238.88,228.64,236.45,70327651.0
2021-01-27,TTST.UK,8.6023,8.7397,8.3273,8.7397,37140.0
2021-01-28,AMZN,3237.62,3301.68,3228.69,3235.04,3149228.0
2021-01-28,GOOGL,1853.2,1887.99,1831.0,1831.0,2763905.0
2021-01-28,FB,265.0,286.79,264.7,277.18,37758844.0
2021-01-28,TWTR.US,51.57,52.25,49.27,49.49,19973996.0
2021-01-28,MSFT.US,237.38,241.06,233.56,234.08,49432387.0
2021-01-28,TTST.UK,8.5433,8.8969,8.3469,8.6023,15723.0
2021-01-29,AMZN,3206.2,3236.99,3184.55,3230.0,4293556.0
2021-01-29,GOOGL,1827.36,1847.535,1801.5601,1834.02,2226509.0
2021-01-29,FB,258.33,266.56,254.85,265.3,30389499.0
2021-01-29,TWTR.US,50.53,52.99,49.88,51.02,17321543.0
2021-01-29,MSFT.US,230.46,236.47,229.85,234.46,42781145.0
2021-01-29,TTST.UK,8.2095,8.6219,7.9149,8.6219,58062.0
2021-02-01,AMZN,3342.88,3350.26,3235.025,3242.36,4160212.0
2021-02-01,GOOGL,1893.07,1915.54,1844.585,1844.585,2012603.0
2021-02-01,FB,262.01,264.17,254.91,259.52,22914255.0
2021-02-01,TWTR.US,52.66,52.75,51.0718,51.2,13820744.0
2021-02-01,MSFT.US,238.09,240.92,230.93,233.53,33532096.0
2021-02-01,TTST.UK,8.4844,8.563,8.3469,8.3469,1392.0
2021-02-02,AMZN,3380.0,3427.74,3361.125,3380.0,7098637.0
2021-02-02,GOOGL,1919.12,1949.37,1906.37,1913.13,3316620.0
2021-02-02,FB,267.08,268.85,263.27,264.0,17320788.0
2021-02-02,TWTR.US,54.0,54.87,52.71,52.865,13977011.0
2021-02-02,MSFT.US,237.95,240.73,237.14,239.74,26085852.0
2021-02-02,TTST.UK,8.4844,8.6219,8.4844,8.5433,2375.0
2021-02-03,AMZN,3312.53,3434.0,3308.62,3425.01,7088781.0
2021-02-03,GOOGL,2058.88,2106.6234,2013.55,2065.61,4894082.0
2021-02-03,FB,266.65,269.2,263.84,265.62,14223377.0
2021-02-03,TWTR.US,54.58,55.19,53.7,54.56,16816338.0
2021-02-03,MSFT.US,241.42,243.5,237.7,238.01,27335742.0
2021-02-03,TTST.UK,8.779,8.7987,8.6612,8.6612,5159.0
2021-02-04,AMZN,3331.0,3347.0,3277.75,3330.0,3670661.0
